Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   83 |       8 | Accept |      5.1099 |       20118 |    0.015092 |      1.0855 |           40 |           29 |       radbas |       netinv |
|   84 |       8 | Accept |    0.022814 |       13698 |    0.015092 |     0.61588 |           40 |            6 |    elliotsig |      softmax |
|   85 |       8 | Accept |      29.895 |      2.2457 |    0.015092 |      1.0298 |           15 |            4 |       compet |       netinv |
|   86 |       8 | Accept |    0.033291 |      680.39 |    0.015092 |      1.0301 |           14 |            4 |    elliotsig |       radbas |
|   87 |       8 | Accept |    0.097221 |      56.789 |    0.015092 |      1.0247 |            2 |            4 |       tansig |       radbas |
|   88 |       8 | Accept |    0.031279 |      305.79 |    0.015092 |       1.019 |            5 |            5 |      radbasn |       radbas |
|   89 |       8 | Accept |     0.95449 |      45.808 |    0.015092 |      1.0152 |            7 |            1 |       tansig |       tribas |
|   90 |       8 | Accept |      1.2228 |      12.147 |    0.015092 |      1.0111 |            1 |            4 |       tansig |       radbas |
|   91 |       8 | Accept |      5.7339 |      72.268 |    0.015092 |      1.0098 |           10 |            4 |       tansig |       netinv |
|   92 |       8 | Accept |    0.028874 |      53.122 |    0.015092 |      1.0047 |            5 |            4 |       tansig |       radbas |
|   93 |       8 | Accept |      4.2318 |      28.308 |    0.015092 |     0.60378 |           37 |            4 |       compet |       netinv |
|   94 |       8 | Accept |    0.024135 |      309.67 |    0.015092 |     0.60722 |           24 |            4 |       tansig |       radbas |
|   95 |       8 | Accept |      6.6029 |        1.03 |    0.015092 |     0.62562 |            3 |            1 |       logsig |      softmax |
|   96 |       8 | Accept |    0.027822 |       241.6 |    0.015092 |      0.6231 |           10 |            4 |       tansig |       radbas |
|   97 |       8 | Accept |     0.43179 |      109.21 |    0.015092 |     0.61959 |            2 |            2 |       tansig |      radbasn |
|   98 |       8 | Accept |      0.3876 |      364.24 |    0.015092 |     0.62204 |           31 |            2 |       tansig |      radbasn |
|   99 |       8 | Accept |    0.024056 |      1748.3 |    0.015092 |     0.62415 |           35 |            5 |      radbasn |       radbas |
|  100 |       8 | Accept |    0.025504 |      201.92 |    0.015092 |     0.23027 |           11 |            5 |      radbasn |       radbas |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  101 |       8 | Accept |     0.35959 |      8.3887 |    0.015092 |     0.22731 |            3 |            1 |       tansig |       tribas |
|  102 |       8 | Accept |        1.36 |      12.974 |    0.015092 |     0.22542 |            1 |            1 |       tansig |       tribas |
|  103 |       8 | Accept |      4.2443 |      6.4418 |    0.015092 |     0.22292 |           11 |            2 |       compet |      softmax |
|  104 |       8 | Accept |      2.0262 |      3.4733 |    0.015092 |     0.22344 |            5 |            5 |      softmax |       netinv |
|  105 |       8 | Accept |      6.1715 |      3.4136 |    0.015092 |     0.22073 |           29 |            1 |       logsig |      radbasn |
|  106 |       8 | Accept |      5.7303 |      1.2418 |    0.015092 |     0.21884 |           10 |            1 |       logsig |      radbasn |
|  107 |       8 | Accept |    0.026638 |      6469.1 |    0.015092 |     0.21844 |           40 |            4 |       tansig |       radbas |
|  108 |       8 | Accept |       6.104 |      1.2205 |    0.015092 |     0.56826 |            1 |            4 |       compet |       netinv |
|  109 |       8 | Accept |     0.32725 |      132.43 |    0.015092 |      0.5659 |           16 |            2 |       tansig |      radbasn |
|  110 |       8 | Accept |     0.10218 |      88.626 |    0.015092 |     0.26125 |            2 |            4 |       tansig |       radbas |
|  111 |       8 | Accept |    0.026504 |      166.19 |    0.015092 |     0.18921 |           10 |            4 |       tansig |       radbas |
|  112 |       8 | Accept |     0.10202 |      225.08 |    0.015092 |     0.18935 |            3 |            5 |      softmax |       netinv |
|  113 |       8 | Accept |      6.0269 |      1.3037 |    0.015092 |     0.20885 |            1 |            5 |      radbasn |       radbas |
|  114 |       8 | Accept |      4.4438 |      3.7012 |    0.015092 |     0.27082 |            4 |            4 |       compet |       netinv |
|  115 |       8 | Accept |      5.8713 |      2.6544 |    0.015092 |     0.22697 |           26 |            1 |       logsig |      softmax |
|  116 |       8 | Accept |     0.61656 |      26.834 |    0.015092 |     0.21971 |           21 |            5 |      radbasn |       netinv |
|  117 |       8 | Accept |    0.026444 |      1059.4 |    0.015092 |     0.21881 |           16 |            5 |      softmax |       netinv |
|  118 |       8 | Accept |      2.7398 |      1.1257 |    0.015092 |     0.21711 |            3 |            1 |       tansig |       tribas |
|  119 |       8 | Accept |       6.583 |      2.2033 |    0.015092 |     0.21197 |           20 |            1 |       logsig |      softmax |
|  120 |       8 | Accept |      5.9724 |      1.8651 |    0.015092 |     0.21081 |           16 |            1 |       logsig |      radbasn |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  121 |       8 | Accept |    0.029295 |      647.22 |    0.015092 |     0.20636 |           11 |            5 |      radbasn |       radbas |
|  122 |       8 | Accept |     0.35975 |       41.76 |    0.015092 |     0.20332 |           13 |            1 |       tansig |       tribas |
|  123 |       8 | Accept |    0.023465 |      3287.8 |    0.015092 |     0.20582 |           30 |            5 |      radbasn |    elliotsig |
|  124 |       8 | Accept |      3.9678 |      26.691 |    0.015092 |     0.20681 |           27 |            2 |       compet |      softmax |
|  125 |       8 | Accept |      4.5313 |      6.0329 |    0.015092 |     0.54571 |           10 |            4 |       compet |       netinv |
|  126 |       8 | Accept |      5.4228 |      7.1524 |    0.015092 |     0.55883 |            5 |            4 |       compet |    elliotsig |
|  127 |       8 | Accept |      4.0147 |      541.07 |    0.015092 |     0.59552 |           23 |            4 |       compet |       netinv |
|  128 |       8 | Accept |      1.5349 |      160.46 |    0.015092 |     0.59834 |            2 |            4 |    elliotsig |       netinv |
|  129 |       8 | Accept |    0.025032 |      50.729 |    0.015092 |     0.59248 |            9 |            4 |    elliotsig |    elliotsig |
|  130 |       8 | Accept |      5.3016 |      1.2397 |    0.015092 |     0.60551 |           11 |            4 |       compet |       compet |
|  131 |       8 | Accept |      6.1298 |      1.3268 |    0.015092 |     0.60269 |            9 |            4 |       compet |       compet |
|  132 |       8 | Accept |      5.6369 |      2.5734 |    0.015092 |      0.6152 |            3 |            4 |    elliotsig |       compet |
|  133 |       8 | Accept |      5.7944 |      12.668 |    0.015092 |     0.62721 |            7 |            4 |       compet |       tansig |
|  134 |       8 | Accept |    0.027187 |      35.556 |    0.015092 |     0.62144 |            6 |            4 |    elliotsig |       tansig |
|  135 |       8 | Accept |     0.03205 |      29.048 |    0.015092 |     0.61172 |            5 |            4 |    elliotsig |       tansig |
