Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   71 |       8 | Accept |    0.028434 |      62.454 |  0.00026969 |    0.015744 |            5 |            3 |       radbas |       radbas |
|   72 |       8 | Accept |     0.10584 |      18.128 |  0.00026969 |    0.015794 |            5 |            1 |       radbas |       radbas |
|   73 |       8 | Accept |  0.00027939 |       35845 |  0.00026969 |    0.015751 |           33 |           20 |    elliotsig |      radbasn |
|   74 |       8 | Accept |    0.023571 |      3451.2 |  0.00026969 |     0.01613 |            3 |           39 |    elliotsig |      radbasn |
|   75 |       8 | Accept |    0.056335 |      66.303 |  0.00026969 |    0.016136 |            5 |            2 |    elliotsig |    elliotsig |
|   76 |       8 | Accept |     0.11888 |      36.174 |  0.00026969 |    0.015919 |           10 |            2 |    elliotsig |      radbasn |
|   77 |       8 | Accept |     0.11415 |      4.7937 |  0.00026969 |     0.01596 |            5 |            2 |      radbasn |       netinv |
|   78 |       8 | Accept |  0.00030503 |      3944.4 |  0.00026969 |    0.015092 |           31 |           25 |       tribas |       tansig |
|   79 |       8 | Accept |     0.31412 |      3.0939 |  0.00026969 |     0.01558 |            5 |           11 |      radbasn |       netinv |
|   80 |       8 | Accept |    0.058285 |      22.511 |  0.00026969 |    0.015586 |            8 |            2 |    elliotsig |       radbas |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   81 |       8 | Accept |     0.27162 |      1.6814 |  0.00026969 |    0.015629 |            5 |            4 |       netinv |       compet |
|   82 |       8 | Accept |    0.055877 |      60.248 |  0.00026969 |    0.015379 |            8 |            2 |    elliotsig |       radbas |
|   83 |       8 | Accept |     0.22028 |      7.0273 |  0.00026969 |    0.015339 |            5 |           13 |       netinv |       compet |
|   84 |       8 | Accept |     0.15449 |      2.8976 |  0.00026969 |    0.015403 |            6 |            3 |       netinv |       tansig |
|   85 |       8 | Accept |    0.088488 |      5.4132 |  0.00026969 |    0.015372 |            6 |           11 |       netinv |       tansig |
|   86 |       8 | Accept |      1754.7 |      6.3925 |  0.00026969 |     0.14081 |            5 |           21 |       netinv |       netinv |
|   87 |       8 | Accept |       0.221 |      13.327 |  0.00026969 |     0.14081 |            5 |           22 |      radbasn |       netinv |
|   88 |       8 | Accept |     0.32327 |      1.4207 |  0.00026969 |     0.13987 |            5 |            4 |       netinv |       netinv |
|   89 |       8 | Accept |     0.31965 |     0.95461 |  0.00026969 |     0.13989 |            5 |            1 |       netinv |       compet |
|   90 |       8 | Accept |     0.27608 |      5.7859 |  0.00026969 |      0.1399 |            5 |           18 |       radbas |       netinv |
|   91 |       8 | Accept |     0.30968 |     0.90594 |  0.00026969 |     0.13991 |            6 |            1 |       netinv |    elliotsig |
|   92 |       8 | Accept |    0.091047 |      20.527 |  0.00026969 |     0.13992 |            6 |           19 |       netinv |       tansig |
|   93 |       8 | Accept |     0.32514 |      1.8345 |  0.00026969 |     0.13996 |            5 |            6 |       radbas |       netinv |
|   94 |       8 | Accept |     0.13026 |      16.735 |  0.00026969 |     0.13998 |            6 |           17 |       netinv |    elliotsig |
|   95 |       8 | Accept |     0.19298 |      10.436 |  0.00026969 |     0.14002 |            3 |           31 |       logsig |       netinv |
|   96 |       8 | Accept |     0.32599 |      3.0544 |  0.00026969 |     0.14005 |            5 |            7 |      radbasn |       netinv |
|   97 |       8 | Accept |     0.24295 |      16.377 |  0.00026969 |     0.14006 |            5 |           26 |       radbas |       netinv |
|   98 |       8 | Accept |     0.26896 |      8.3041 |  0.00026969 |     0.14007 |            5 |           20 |       netinv |       compet |
|   99 |       8 | Accept |     0.26177 |      22.758 |  0.00026969 |     0.14007 |            5 |           31 |       netinv |       compet |
|  100 |       8 | Accept |     0.17827 |      5.9168 |  0.00026969 |     0.14011 |            5 |           16 |      radbasn |       netinv |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  101 |       8 | Accept |   0.0061794 |      795.25 |  0.00026969 |     0.14009 |            4 |           14 |       logsig |    elliotsig |
|  102 |       8 | Accept |     0.29787 |     0.89341 |  0.00026969 |     0.14012 |            6 |            1 |       netinv |       tansig |
|  103 |       8 | Best   |  0.00025852 |       33962 |  0.00025852 |     0.14008 |           18 |           40 |       radbas |       tansig |
|  104 |       8 | Accept |     0.20957 |      37.736 |  0.00025852 |     0.14009 |            5 |           35 |       radbas |       netinv |
|  105 |       8 | Accept |     0.11888 |      1.5308 |  0.00025852 |     0.14012 |            5 |            1 |       netinv |       radbas |
|  106 |       8 | Accept |      0.1844 |      2.5681 |  0.00025852 |     0.14016 |            5 |            8 |       netinv |       compet |
|  107 |       8 | Accept |     0.19539 |      43.934 |  0.00025852 |     0.14016 |            5 |           35 |      radbasn |       netinv |
|  108 |       8 | Accept |     0.27206 |      56.967 |  0.00025852 |     0.14016 |            6 |           40 |       netinv |       compet |
|  109 |       8 | Accept |  0.00056171 |      2164.5 |  0.00025852 |     0.14014 |            8 |           17 |    elliotsig |       radbas |
|  110 |       8 | Accept |    0.073978 |      61.247 |  0.00025852 |     0.14014 |            6 |           29 |       netinv |       tansig |
|  111 |       8 | Accept |    0.086228 |      3.8216 |  0.00025852 |     0.14016 |            2 |            2 |    elliotsig |       tribas |
|  112 |       8 | Accept |  0.00087858 |      1095.9 |  0.00025852 |     0.14014 |            5 |           16 |    elliotsig |    elliotsig |
|  113 |       8 | Accept |    0.099821 |      50.499 |  0.00025852 |     0.14015 |            6 |           26 |       netinv |    elliotsig |
|  114 |       8 | Accept |    0.039391 |      207.38 |  0.00025852 |     0.14014 |            6 |           40 |       netinv |    elliotsig |
|  115 |       8 | Accept |     0.21914 |      17.035 |  0.00025852 |     0.14017 |            5 |           28 |      radbasn |       netinv |
|  116 |       8 | Accept |     0.28334 |      9.6272 |  0.00025852 |     0.14021 |            5 |           25 |       netinv |       compet |
|  117 |       8 | Accept |      0.1132 |      2.7247 |  0.00025852 |     0.14026 |            6 |            7 |       netinv |       tansig |
|  118 |       8 | Accept |     0.31398 |      12.385 |  0.00025852 |     0.14022 |            5 |           25 |    elliotsig |       netinv |
|  119 |       8 | Accept |     0.29886 |      63.442 |  0.00025852 |     0.14021 |            5 |           37 |    elliotsig |       netinv |
|  120 |       8 | Accept |     0.33711 |      4.4231 |  0.00025852 |     0.14023 |            5 |           17 |    elliotsig |       netinv |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  121 |       8 | Accept |      0.2724 |      2.9343 |  0.00025852 |     0.14026 |            4 |           12 |    elliotsig |       netinv |
|  122 |       8 | Accept |     0.20352 |      12.579 |  0.00025852 |     0.14029 |            2 |           29 |    elliotsig |       netinv |
